column_name,column_label,spss_file
q67i8,"Z jakimi problemami, Pana(i) zdaniem, boryka się Kościół katolicki w Polsce?-Niskie dochody niektórych parafii",CBOS_279_08_2013.sav
q68i8,A czy któreś z tych problemów dotyczą Pana(i) parafii? -Niskie dochody parafii,CBOS_279_08_2013.sav
q238,"A teraz proszę sobie wyobrazić, że Pana(i) krewny lub znajomy otrzymał dużą sumę pieniędzy i chce się Pana(i) poradzić, jak ją zainwestować. Nie wie, czy kupić obligacje skarbowe czy akcje przedsiębiorstw. Co poradził(a)by Pan(i)?",CBOS_131_04_2001.sav
q239,"Przypuśćmy, że otrzymał(a)by Pan(i) milion nowych złotych w gotówce. Jaką część tej sumy przeznaczył(a)by Pan(i) na każdy wybrany cel? - Dom/ mieszkanie: remont, modernizację, dokończenie budowy",CBOS_131_04_2001.sav
q241,"Przypuśćmy, że otrzymał(a)by Pan(i) milion nowych złotych w gotówce. Jaką część tej sumy przeznaczył(a)by Pan(i) na każdy wybrany cel? - Fabrycznie nowy samochód",CBOS_131_04_2001.sav
q242,"Przypuśćmy, że otrzymał(a)by Pan(i) milion nowych złotych w gotówce. Jaką część tej sumy przeznaczył(a)by Pan(i) na każdy wybrany cel? - Używany samochód",CBOS_131_04_2001.sav
q137,56. A jak w tym roku w Pana(i) gospodarstwie domowym będą wyglądać przedświąteczne przygotowania? Czy Pan(i) osobiście będzie ... : - sprzątać mieszkanie,CBOS_187_12_2005.sav
q161,Do której grupy dochodowej można zaliczyć Pana(i) miesięczne dochody netto (szersza treść w kwestionariuszu),CBOS_23_01_1992.sav
q130,"58. Czy obecnie uważa Pan(i), że dochody Pana(i) rodziny są:",CBOS_48_04_1994.sav
q131,"59. Czy uważa Pan(i), że całkowite dochody w Pana(i) gospodarstwie domowym są:",CBOS_48_04_1994.sav
q144,"61. Jeśli sytuacja Pana(i), Pana(i) rodziny pogorszyła się, to na co przede wszystkim musiał(a) Pan(i) ograniczyć wydatki lub z czego zrezygnować? Czy musiał(a) Pan(i) ograniczyć wydatki na: - oszczędności",CBOS_48_04_1994.sav
q157,"62. Jeśli sytuacja Pana(i), Pana(i) rodziny poprawiła się, to na co zwiększył(a) Pan(i) wydatki? Czy zwiększył(a) Pan(i) swoje wydatki na: - oszczędności",CBOS_48_04_1994.sav
q161,65. Czy w ciągu ostatniego roku miał(a) Pan(i) jakieś trudności w uiszczaniu opłat za ... : - mieszkanie/dom,CBOS_48_04_1994.sav
q168,"67. Czy w poprzednim miesiącu, tzn. w marcu, Pan(i) i Pana(i) gospodarstwo domowe było zmuszone, czy też nie, ze względu na sytuację finansową: - sięgać do oszczędności gotówkowych",CBOS_48_04_1994.sav
q173,"68. Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było:  - żyć dostatnio, bez problemów finansowych",CBOS_48_04_1994.sav
q174,"68. Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było:  - żyć na średnim poziomie",CBOS_48_04_1994.sav
q175,"68. Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i) rodzinie, aby można było:  - zaspokajać jedynie podstawowe potrzeby",CBOS_48_04_1994.sav
q433,Czy ma(ją) Pan(i)/Państwo jakieś oszczędności? Czy jest(są) to: - Akcje firm notowanych na giełdzie,CBOS_48_04_1994.sav
q441,Czy ma(ją) Pan(i)/Państwo: - samochód osobowy,CBOS_48_04_1994.sav
q207,63. Jakimi środkami komunikacji podróżował(a) Pan(i) lub będzie podróżować jadąc na wypoczynek i w jego trakcie? - samochód osobowy,CBOS_186_11_2005.sav
q422,"Czy, Pana(i) zdaniem, akcje firm notowanych na giełdzie powinny czy też nie powinny być opodatkowane?",CBOS_43_01_1994.sav
q74,"26. Proszę porównać zarówno dochody swojego gospodarstwa domowego, jak i ceny obecne i sprzed roku. Czy w porównaniu z okresem sprzed roku jest Pan(i) w stanie kupić więcej czy mniej towarów?",CBOS_115_12_1999.sav
q75,27. A czy dochody Pana(i) gospodarstwa domowego wyrażone w złotówkach są wyższe czy też niższe niż rok temu?,CBOS_115_12_1999.sav
q97,"29. Jak, Pana(i) zdaniem, wprowadzenie programu oszczędności budżetowych, tzw. planu Hausnera, wpłynie na ... w ciągu następnych trzech lat? - warunki materialne Pana(i) i Pana(i) rodziny",CBOS_162_11_2003.sav
q98,"29. Jak, Pana(i) zdaniem, wprowadzenie programu oszczędności budżetowych, tzw. planu Hausnera, wpłynie na ... w ciągu następnych trzech lat? - sytuację gospodarczą kraju",CBOS_162_11_2003.sav
q205,"Proszę powiedzieć do której grupy dochodowej można zaliczyć Pana(i) miesięczne dochody netto. Jeżeli P. nie pracuje, to proszę podać dochód głównego żywiciela rodziny",CBOS_19_08_1991.sav
q429,"Czy Pan(i) lub współmałżonek posiadacie oszczędności finansowe (lokatę, akcje, obligacje, tytuły uczestnictwa funduszu powierniczego, oszczędności w innej postaci)?",CBOS_150_11_2002.sav
q109,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i)  rodzinie, aby można było:  - Żyć dostatnio, bez problemów finansowych [w NOWYCH zł.]",CBOS_77_10_1996.sav
q110,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i)  rodzinie, aby można było:  - Żyć na średnim poziomie [w NOWYCH zł]",CBOS_77_10_1996.sav
q111,"Ile, według Pana(i), powinny wynosić miesięczne dochody na jedną osobę w Pana(i)  rodzinie, aby można było:  - Zaspokajać jedynie podstawowe potrzeby [w NOWYCH zł]",CBOS_77_10_1996.sav
q112,Czy w ciągu ostatniego roku miał(a) Pan(i) jakieś trudności w uiszczaniu opłat za: ... : - Mieszkanie/dom,CBOS_77_10_1996.sav
q128,"Czy w poprzednim miesiącu, tzn. we wrześniu, Pan(i) i Pana(i) gospodarstwo domowe było  zmuszone, czy też nie, ze względu na sytuację finansową: - Sięgać do oszczędności gotówkowych",CBOS_77_10_1996.sav
q129,"Czy w poprzednim miesiącu, tzn. we wrześniu, Pan(i) i Pana(i) gospodarstwo domowe było  zmuszone, czy też nie, ze względu na sytuację finansową: - Zaciągać pożyczkę lub kredyt",CBOS_77_10_1996.sav
q24,"7. Czy ma Pan(i) jakieś oszczędności osobiste lub wspólne z innymi członkami Pana(i) gospodarstwa domowego w formie pieniędzy lub bonów, lokat bankowych, akcji lub obligacji itp.?",CBOS_101_10_1998.sav
q25,8. Czy w ciągu ostatnich 30 dni oszczędności te zwiększyły się czy zmniejszyły?,CBOS_101_10_1998.sav
q284,73. Czy dochody i materialny poziom życia Pana(i) i Pana(i) rodziny są obecnie wyższe czy niższe niż rok temu?,CBOS_101_10_1998.sav
q285,74. A co Pan(i) myśli o przyszłości? Czy za rok dochody i materialny poziom życia Pana(i) i Pana(i) rodziny będą wyższe czy niższe niż obecnie?,CBOS_101_10_1998.sav
q286,"75. Myśląc nie o sobie, lecz o całym społeczeństwie, czy sądzi Pan(i) że dochody i materialny poziom życia wiekszości Polaków są obecnie wyższe czy niższe niż rok temu?",CBOS_101_10_1998.sav
q287,76.  A co Pan(i) myśli o przyszłości? Czy za rok dochody i materialny poziom życia większości Polaków będą wyższe czy niższe niż obecnie?,CBOS_101_10_1998.sav
q152,50. Ile pokoi powinno mieć teraz mieszkanie (lub dom) odpowiednie dla Pana(i) i Pana(i) rodziny?,CBOS_57_02_1995.sav
q153,51. Czy stara się Pan(i) (lub ma Pan(i) zamiar starać się) zmienić swoje mieszkanie lub dom?,CBOS_57_02_1995.sav
q154,"52. Ile obecnie płaci Pan(i) łącznie miesięcznie za mieszkanie (czynsz, woda, elektryczność, co, gaz, spłata kredytów, inne opłaty)? (TYS. STARYCH ZŁOTYCH)",CBOS_57_02_1995.sav
