column_name,column_label,matched_question,similarity_score,relevant_key,spss_file
URODZONY,Rok urodzenia respondenta,Rok urodzenia,0.9607435464859009,age,CBOS_279_08_2013.sav
woj,Województwo,Województwo,1.0,location,CBOS_279_08_2013.sav
q12,Jakie ma Pan(i) wykształcenie? Proszę podać najwyższy osiągnięty przez Pana(ią) poziom wykształcenia.,Jakie ma Pan(i) wykształcenie? Proszę podać najwyższy osiągnięty przez Pana(ią) poziom wykształcenia.,1.0,education,CBOS_279_08_2013.sav
q17,"Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona Pana(i) głównym źródłem utrzymaniaczy też nie?","Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona Pana(i) głównym źródłem utrzymaniaczy też nie?",1.0,if_retired,CBOS_279_08_2013.sav
q19,"Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?","Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",1.0,household_size,CBOS_279_08_2013.sav
q115,"Ile wynoszą PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)? Proszę wziąć pod uwagę Pana(i) dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczych, renty i emerytury, stypendia oraz inne dodatkowe do...","Ile wynoszą PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)? Proszę wziąć pod uwagę Pana(i) dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczych, renty i emerytury, stypendia oraz inne dodatkowe",0.9865877330303192,income_personal,CBOS_279_08_2013.sav
q116,"M18_Numerycznie. Kwota przeciętnych, miesięcznych dochodów NETTO respondenta","Kwota przeciętnych, miesięcznych dochodów NETTO respondenta",0.9562142491340637,income_personal,CBOS_279_08_2013.sav
q117,"M18_2. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)?","A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARST",0.9278266429901123,income_household_per_person,CBOS_279_08_2013.sav
q117,"M18_2. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)?","A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)?",0.9568928480148315,income_personal,CBOS_279_08_2013.sav
q118,"Ile wynoszą PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARSTWIE DOMOWYM? Proszę wziąć pod uwagę dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczy...","Ile wynoszą PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARSTWIE DOMOWYM? Proszę wziąć pod uwagę dochody z pracy głównej wraz z premiami, nagrodami, dodatkami, dochody z prac dodatkowych, także dorywczy",0.9879053831100464,income_household_per_person,CBOS_279_08_2013.sav
q119,"M19_Numerycznie. Kwota przeciętnych, miesięcznych dochodów NETTO na jedną osobę w gospodarstwie domowym respondenta - średnia z ostatnich 3 ms","Kwota przeciętnych, miesięcznych dochodów NETTO na jedną osobę w gospodarstwie domowym respondenta - średnia z ostatnich 3 ms",0.9787437617778778,income_household_per_person,CBOS_279_08_2013.sav
q119,"M19_Numerycznie. Kwota przeciętnych, miesięcznych dochodów NETTO na jedną osobę w gospodarstwie domowym respondenta - średnia z ostatnich 3 ms","Kwota przeciętnych, miesięcznych dochodów NETTO respondenta",0.9358062744140625,income_personal,CBOS_279_08_2013.sav
q120,"M19_2. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARST...","A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARST",0.9550030827522278,income_household_per_person,CBOS_279_08_2013.sav
q120,"M19_2. A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PRZECIĘTNE MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ) PRZYPADAJĄCE NA JEDNĄ OSOBĘ W PANA(I) GOSPODARST...","A czy mógłby(mogłaby) Pan(i) podać przybliżone dochody? Proszę spojrzeć na ekran. Czy mógłby(mogłaby) Pan(i) wskazać, w którym przedziale mieszczą się PANA(I) MIESIĘCZNE DOCHODY NETTO (NA RĘKĘ)?",0.9383311867713928,income_personal,CBOS_279_08_2013.sav
q486,Województwo nowe,Województwo,0.9299480319023132,location,CBOS_131_04_2001.sav
q402,W którym roku się Pan(i) urodził(a)?,W którym roku się Pan(i) urodził(a)?,1.0,age,CBOS_131_04_2001.sav
q403,Jakie ma Pan(i) wykształcenie? .,Jakie ma Pan(i) wykształcenie?,0.9973090887069702,education,CBOS_131_04_2001.sav
q404,"Czy miejscowość, w której Pan(i) mieszka na stałe, to:","Czy miejscowość, w której Pan(i) mieszka na stałe jest:",0.9984782934188843,city_size,CBOS_131_04_2001.sav
q405,Jaki jest Pana(i) stan cywilny?,Jaki jest Pana(i) stan cywilny?,1.0,marital,CBOS_131_04_2001.sav
q409,"Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?","Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",1.0,household_size,CBOS_131_04_2001.sav
q411,Ile wynoszą W NOWYCH ZŁOTYCH miesięczne dochody na 1 osobę w Pana(i) gospodarstwie domowym?,Ile wynoszą W STARYCH ZŁOTYCH miesięczne dochody na 1 osobę w Pana(i) gospodarstwie domowym? [tysiące starych złotych],0.974571168422699,income_household_per_person,CBOS_131_04_2001.sav
q424,"Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona głównym źródłem utrzymania Pana(i), czy też nie?","Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona Pana(i) głównym źródłem utrzymaniaczy też nie?",0.9961597323417664,if_retired,CBOS_131_04_2001.sav
q486,WOJEWÓDZTWO,Województwo,0.9345924556255341,location,CBOS_34_04_1993.sav
q402,W którym roku się Pan(i) urodził(a)?,W którym roku się Pan(i) urodził(a)?,1.0,age,CBOS_34_04_1993.sav
q403,Jakie ma Pan(i) wykształcenie?,Jakie ma Pan(i) wykształcenie?,1.0,education,CBOS_34_04_1993.sav
q404,"Czy miejscowość, w której Pan(i) mieszka na stałe jest:","Czy miejscowość, w której Pan(i) mieszka na stałe jest:",1.0,city_size,CBOS_34_04_1993.sav
q409,Jaki jest Pana(i) stan cywilny?,Jaki jest Pana(i) stan cywilny?,1.0,marital,CBOS_34_04_1993.sav
q410,"Z ilu osób, łącznie z Panem(ią) składa się Pana(i) gospodarstwo domowe?","Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",0.9995863437652588,household_size,CBOS_34_04_1993.sav
q412,Ile wynoszą miesięczne dochody na 1 osobę w Pana(i) gospodarstwie domowym? (w tys. zł),Ile wynoszą W STARYCH ZŁOTYCH miesięczne dochody na 1 osobę w Pana(i) gospodarstwie domowym? [tysiące starych złotych],0.9539250731468201,income_household_per_person,CBOS_34_04_1993.sav
q401,Płeć,Płeć,1.0,gender,CBOS_187_12_2005.sav
q402,W którym roku się Pan(i) urodził(a)?,W którym roku się Pan(i) urodził(a)?,1.0,age,CBOS_187_12_2005.sav
q403,Jakie ma Pan(i) wykształcenie? .,Jakie ma Pan(i) wykształcenie?,0.9973090887069702,education,CBOS_187_12_2005.sav
q404,"Czy miejscowość, w której Pan(i) mieszka na stałe, to:","Czy miejscowość, w której Pan(i) mieszka na stałe jest:",0.9984782934188843,city_size,CBOS_187_12_2005.sav
q405,Jaki jest aktualnie Pana(i) stan cywilny?,Jaki jest Pana(i) stan cywilny?,0.9770746231079102,marital,CBOS_187_12_2005.sav
q410,"Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?","Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",1.0,household_size,CBOS_187_12_2005.sav
q412,Ile wynoszą W ZŁOTYCH Pana(i) miesięczne dochody NETTO (na rękę)?,"Kwota przeciętnych, miesięcznych dochodów NETTO respondenta",0.9270376563072205,income_personal,CBOS_187_12_2005.sav
q413,Ile wynoszą W ZŁOTYCH miesięczne dochody NETTO na 1 osobę w Pana(i) gospodar- stwie domowym? średnia za ostatnie 3 miesiące.,"Kwota przeciętnych, miesięcznych dochodów NETTO na jedną osobę w gospodarstwie domowym respondenta - średnia z ostatnich 3 ms",0.9302386045455933,income_household_per_person,CBOS_187_12_2005.sav
q413,Ile wynoszą W ZŁOTYCH miesięczne dochody NETTO na 1 osobę w Pana(i) gospodar- stwie domowym? średnia za ostatnie 3 miesiące.,"Kwota przeciętnych, miesięcznych dochodów NETTO respondenta",0.9370195865631104,income_personal,CBOS_187_12_2005.sav
q433,"Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona głównym źródłem utrzymania Pana(i) czy też nie?","Czy otrzymuje Pan(i) rentę lub emeryturę, niezależnie od tego, czy jest ona Pana(i) głównym źródłem utrzymaniaczy też nie?",0.9960902333259583,if_retired,CBOS_187_12_2005.sav
q401,Płeć,Płeć,1.0,gender,CBOS_114_11_1999.sav
q402,W którym roku się Pan(i) urodził(a)?,W którym roku się Pan(i) urodził(a)?,1.0,age,CBOS_114_11_1999.sav
q403,Jakie ma Pan(i) wykształcenie? .,Jakie ma Pan(i) wykształcenie?,0.9973090887069702,education,CBOS_114_11_1999.sav
q404,"Czy miejscowość, w której Pan(i) mieszka na stałe, jest:","Czy miejscowość, w której Pan(i) mieszka na stałe jest:",0.9993886947631836,city_size,CBOS_114_11_1999.sav
q408,"Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?","Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",1.0,household_size,CBOS_114_11_1999.sav
q410,Ile wynoszą W NOWYCH ZŁOTYCH miesięczne dochody na 1 osobę w Pana(i) gospodar- stwie domowym? - średnia za ostatnie 3 miesiące.,Ile wynoszą W STARYCH ZŁOTYCH miesięczne dochody na 1 osobę w Pana(i) gospodarstwie domowym? [tysiące starych złotych],0.9493335485458374,income_household_per_person,CBOS_114_11_1999.sav
q411,Jaki jest Pana(i) stan cywilny?,Jaki jest Pana(i) stan cywilny?,1.0,marital,CBOS_114_11_1999.sav
q145,W którym roku się Pan(i) urodził(a)?,W którym roku się Pan(i) urodził(a)?,1.0,age,CBOS_23_01_1992.sav
q146,Jakie ma Pan(i) wykształcenie?,Jakie ma Pan(i) wykształcenie?,1.0,education,CBOS_23_01_1992.sav
q147,Czy miejscowość w któej mieszka Pan(i) na stałe jest:,"Czy miejscowość, w której Pan(i) mieszka na stałe jest:",0.9842467308044434,city_size,CBOS_23_01_1992.sav
q159,Z ilu osób łącznie z Panem(ią) składa się Pana(i) gospodarstwo domowe?,"Z ilu osób, łącznie z Panem(ią), składa się Pana(i) gospodarstwo domowe?",0.9980492293834686,household_size,CBOS_23_01_1992.sav
q171,Czy należał(a) Pani do PZPR,Czy w przeszłości należał(a) Pan(i) do PZPR?,0.9592261910438538,if_party_member,CBOS_23_01_1992.sav
